era,rank,measure,year,formal citation / status,primary jurisdiction or land effect,where it applied,PL-280 status,state criminal jurisdiction implication,tribal criminal jurisdiction implication,federal criminal jurisdiction implication,treaty-boundary / land implication,source_id
Treaty Era (1776–1887),1,Indian Trade and Intercourse Act,1790,1 Stat. 137; repeatedly reenacted,Federal nonintercourse rule; federal regulation of trade and land transactions with tribes.,"Indian country and dealings with tribes nationwide, as defined by the successive acts.",Not enacted.,State authority constrained where federal Indian-country law applied.,Tribal authority generally persisted except as Congress altered it.,Established/confirmed federal role in Indian affairs and Indian-country governance.,Protected treaty/tribal land from unauthorized purchase or conveyance; applicability depended on treaty/recognized tribal lands.,DOJ-FBI-IndianCountry
Treaty Era (1776–1887),2,Indian Removal Act,1830,4 Stat. 411,Authorized negotiated removal/exchange of lands; reshaped territorial geography rather than a general criminal-jurisdiction code.,Primarily tribes east of the Mississippi targeted for exchange/removal to western territory.,Not enacted.,"States gained practical/geographic reach as Indigenous nations were removed, but legal effects varied by treaty and litigation.",Tribal political communities were relocated; tribal authority continued in new treaty/reservation settings.,Federal executive controlled treaty negotiation/removal process.,Extinguished/exchanged many eastern treaty-recognized land interests and created western treaty/reservation geographies.,BIA-PolicyOverview
Treaty Era (1776–1887),3,Indian Intercourse Act,1834,4 Stat. 729,Defined “Indian country” for the Act and extended federal criminal/Indian-affairs regulation.,Designated Indian country west of the Mississippi and other covered areas under the statute.,Not enacted.,"Generally excluded ordinary state criminal reach in covered Indian country, subject to statutory limits.","Tribal internal criminal authority remained important, especially Indian-on-Indian offenses.",Precursor to the General Crimes Act framework for federal offenses in Indian country.,Supplied a federal statutory geography separate from particular treaty lines.,DOJ-MajorCrimes
Treaty Era (1776–1887),4,Indian Appropriations Act (end of treaty making),1871,"16 Stat. 566, 566 §1",Ended recognition of tribes as independent nations for future treaty-making; preserved existing treaties.,"Nationwide, for future relations with federally recognized tribes.",Not enacted.,No direct general transfer of state criminal jurisdiction.,Existing tribal/treaty rights were not abrogated solely by this provision.,Congressional/statutory governance increasingly displaced new treaties.,Existing treaty boundaries/obligations remained; no new treaties thereafter.,BIA-PolicyOverview
Treaty Era (1776–1887),5,Major Crimes Act,1885,"23 Stat. 362, 385 §9; now 18 USC 1153",Created federal jurisdiction over enumerated major offenses by Indians in Indian country.,"Indian country nationwide; applies based on offender, offense, and location.",Not enacted.,States generally excluded absent congressional authorization.,Tribal authority continued but federal authority entered major-crime cases; exact concurrency doctrine is case-specific.,Federal courts gained jurisdiction over enumerated offenses.,"No boundary alteration; operates within Indian country, including reservations/allotments as legally defined.",DOJ-MajorCrimes
Allotment Era (1887–1934),1,General Allotment (Dawes) Act,1887,24 Stat. 388,Authorized division of communal reservation land into individual allotments; “surplus” land could pass from tribal control.,"Reservations selected for allotment, subject to statutory and treaty-specific exceptions.",Not enacted.,Checkerboarding later complicated state reach; no blanket state criminal grant.,"Diminished territorial land base and practical governance, but did not itself abolish tribal criminal jurisdiction.",Federal trust and allotment administration expanded.,Fragmented reservation land; individual trust allotments remained legally significant Indian-country land.,BIA-PolicyOverview
Allotment Era (1887–1934),2,Curtis Act,1898,30 Stat. 495,Extended allotment/assimilation program in Indian Territory; curtailed Five Tribes’ governmental institutions.,Indian Territory / Five Civilized Tribes (present-day Oklahoma).,Not enacted.,Changed territorial governance in Indian Territory; precise criminal jurisdiction depended on later federal/Oklahoma law.,Dismantled or constrained Five Tribes’ formal governmental institutions.,Federal control over allotment and governance in Indian Territory increased.,Allotted tribal land and prepared “surplus” dispositions in Indian Territory.,BIA-PolicyOverview
Allotment Era (1887–1934),3,Burke Act,1906,34 Stat. 182,Authorized early fee patents for allottees deemed competent; subjected recipients to state/county civil and criminal laws.,Allotted Indians/reservation allotments nationwide where the act applied.,Not enacted.,State civil/criminal jurisdiction attached to allottees receiving fee patents under the statute.,Trust-status loss narrowed land-based protections; tribal power questions remained fact/law dependent.,Federal Secretary determined competency and patent timing.,"Accelerated conversion of some trust allotments to fee land, deepening checkerboarding.",BIA-PolicyOverview
Allotment Era (1887–1934),4,"Act of June 25, 1910 (Indian allotment/heirship amendments)",1910,36 Stat. 855,"Expanded federal administrative control over inheritance, partition, and restrictions affecting allotted land.",Individual Indian allotments nationwide within statutory scope.,Not enacted.,No blanket state criminal grant; fee/trust status affected jurisdictional analysis.,Tribal land base remained fragmented.,Secretary/BIA authority over restricted allotments and heirship expanded.,Affected whether allotments stayed restricted/trust or entered fee ownership.,BIA-PolicyOverview
Allotment Era (1887–1934),5,Indian Citizenship Act,1924,43 Stat. 253,"Conferred U.S. citizenship while preserving property rights; altered citizenship/status, not a broad criminal-jurisdiction transfer.",All noncitizen Indians born in the United States.,Not enacted.,State political membership expanded; criminal jurisdiction in Indian country still governed by federal Indian law.,Did not itself terminate tribal citizenship or inherent governmental authority.,No general change to federal Indian-country criminal statutes.,Expressly preserved rights to tribal or other property.,BIA-PolicyOverview
Reorganization Era (1934–1953),1,Indian Reorganization Act (Wheeler-Howard Act),1934,48 Stat. 984; 25 USC ch. 46,"Ended further allotment, extended trust protections, authorized land restoration/acquisition, and enabled tribal constitutions.",Eligible federally recognized tribes; some tribes voted against/otherwise fell outside particular provisions.,Not enacted.,No general state criminal grant.,Reaffirmed/structured tribal self-government; criminal powers remained constrained by other federal law.,Federal trust land acquisition and supervision remained central.,Stopped new allotment and enabled restoration/acquisition of tribal land; did not erase existing checkerboarding.,NARA-IRA
Reorganization Era (1934–1953),2,Oklahoma Indian Welfare Act,1936,49 Stat. 1967,"Extended IRA-style organization, land acquisition, and cooperative authority to Oklahoma tribes.",Oklahoma Indian tribes/communities within statutory eligibility.,Not enacted.,No blanket state criminal grant.,Supported formal tribal organization in Oklahoma.,Federal approval/acquisition mechanisms continued.,Supported acquisition/holding of land for Oklahoma tribes; not a restoration of every former treaty boundary.,BIA-PolicyOverview
Reorganization Era (1934–1953),3,Indian Mineral Leasing Act,1938,52 Stat. 347; 25 USC 396a–g,"Authorized tribal mineral leasing with federal approval, strengthening tribal role in resource-land administration.",Tribal lands nationwide subject to the Act.,Not enacted.,No direct criminal-jurisdiction transfer.,Tribes participate in leasing decisions under federal statutory framework.,Secretary approval and federal trust role required.,Applies to tribal lands; does not redraw reservation/treaty boundaries.,BIA-PolicyOverview
Reorganization Era (1934–1953),4,Indian Claims Commission Act,1946,60 Stat. 1049,"Created commission to hear claims against the United States, including treaty/land claims.","Claims by tribes, bands, and identifiable groups against the United States.",Not enacted.,No direct criminal-jurisdiction allocation.,Provided a federal forum for tribal claims but did not itself restore sovereign criminal authority.,Federal claims adjudication mechanism.,Addressed compensation/claims arising from land and treaty losses; generally did not restore land boundaries.,BIA-PolicyOverview
Reorganization Era (1934–1953),5,1948 revision/codification of federal Indian-country criminal provisions,1948,62 Stat. 683; 18 USC 1151–1153,Codified Indian-country definition and General Crimes/Major Crimes framework.,"Indian country nationwide: reservations, dependent Indian communities, and Indian allotments with unextinguished title.",Not enacted.,States generally lack jurisdiction unless Congress provides otherwise.,Tribal jurisdiction persists subject to federal statutes and Supreme Court doctrine.,Defines federal criminal-jurisdiction geography and major-crime coverage.,Makes individual trust allotments part of statutory Indian country; treaty line alone is not the only geography.,DOJ-MajorCrimes
Termination Era (1953–1970),1,House Concurrent Resolution 108,1953,H. Con. Res. 108 (policy resolution; not a statute),Announced termination policy for named tribes and directed a shift toward state-law treatment.,Named tribes/groups and a nationwide federal policy agenda.,Context for enactment; not PL-280 itself.,Policy sought state-law assimilation; no direct jurisdictional grant by the resolution alone.,Sought ending federal recognition/supervision for targeted tribes.,Sought withdrawal of federal services/supervision.,Termination policy threatened federal trust/treaty land protections; actual effects followed particular statutes.,BIA-PolicyOverview
